"date","namer","latam","america","europe","asiaoc","all_indices"
"06/2014",1.03881767648206,4.25760312321686,6.01815668705069,4.02479339959602,5.88318241165718,15.790714108201
"07/2014",0.760685777850166,3.95072848334935,4.94066497169251,2.95522983978706,6.11327018605826,14.25820303536
"08/2014",0.922209548183777,3.54234319314751,5.19434442706502,3.26779342655296,4.81359016403037,13.6657868337047
"09/2014",0.941032534792849,3.81442827694476,5.27026818701088,3.80295549784595,6.09175457350917,15.2214618616171
"10/2014",0.63645179225221,3.43881834640112,4.42441861327143,2.28723547232917,5.23442765833328,12.1901618612986
"11/2014",1.40186545466053,3.92954729180915,5.76978608283274,3.23321962336851,6.50072541981573,15.211205538065
"12/2014",0.780818038288218,3.06047423102268,4.25584834318564,2.46224674201974,5.0976000602196,11.719490734269
"01/2015",0.678629031944321,2.95856164595837,4.05422922427193,3.30621295471393,4.30940018556006,12.0420777945286
"02/2015",0.801962748716846,3.24349883204363,4.62265302364486,4.38842489215252,6.18469742088423,15.0551435244676
"03/2015",0.810605990937117,3.33653719836442,4.67763906698158,3.46031735119664,5.80780797585071,14.3382913992676
"04/2015",0.929186060132095,3.19035696701989,4.75926652308985,2.90397597991366,6.31784115618512,13.8207443193663
"05/2015",0.598294725673568,3.28503473639419,4.49320562132528,3.51448393813679,6.0166435681197,14.1041953513422
"06/2015",0.651102649946501,3.50008843153213,4.61834651655941,2.46891887685432,4.83711092794227,11.9113810220159
"07/2015",0.849034495129189,3.05061999036964,4.17069173867221,2.37481592150278,4.85335680604632,11.8321538071491
"08/2015",0.487948649868594,2.28792953092432,3.14088054891826,1.56984474628417,3.81038325735711,8.6943538187474
"09/2015",0.558215551153336,2.6780082134001,3.50524080107438,1.87298399858775,4.80347572449358,10.5105300795085
"10/2015",0.81658716375974,3.03150314375025,4.28280320480678,2.79194127592634,4.87700428150383,12.072934801218
"11/2015",0.7034424054903,3.33454602227619,4.63892350471562,2.96227894045,5.12345309458566,13.1943206600112
"12/2015",0.718761187193511,2.92898404209282,3.9730990622016,2.20523429478071,4.16422982236468,10.8469351211396
"01/2016",0.552190486684667,2.54788079580529,3.4308824308254,2.11053247150628,3.63191990238765,9.60944235918394
"02/2016",0.820945258799771,3.11959058190104,4.44047108492955,1.90895148858125,4.9753625835051,11.1754205812222
"03/2016",0.822169167539875,3.07215809997783,4.41312593934077,3.09949011975016,4.89414990176129,12.5533624236421
"04/2016",0.971150297847313,3.23600068671087,4.53179758883894,2.66514112028034,4.85161965810138,12.5620069499729
"05/2016",0.875038092082353,3.11583310312601,4.41713621046087,2.85547732656672,5.34823289942664,13.0904001596947
"06/2016",0.49617703465408,2.57291566439867,3.35726843482652,2.03145510568194,3.26442562600632,8.87249265060821
"07/2016",1.0259118849486,3.1970739395906,4.78954973015389,3.01193808234581,4.94119263794361,13.039889372334
"08/2016",0.793624553297033,3.78790237809285,5.00086252542513,2.74151093949001,5.19009359146754,13.4090070892054
"09/2016",0.606598951643588,2.47903699974411,3.15553794050279,2.51602407079883,4.82913906549896,10.8584289276614
"10/2016",0.965817296189494,3.7736606810305,5.15802586367648,3.13848574717481,5.70598388903657,14.2147430078055
"11/2016",0.898650295442725,3.11774955570593,4.46132376215833,3.57605079437253,4.06871534422902,11.8643710620651
"12/2016",0.90510383567455,3.64228368840107,5.21570341498192,3.80459710524141,5.46577514174058,14.2363476327186
"01/2017",0.835140781191029,3.5763885224335,4.85390889648828,3.69627972612711,5.84883130352631,14.2000635255589
"02/2017",1.15944553838968,3.75174332057569,5.15029894643674,4.33826279373132,5.5006481939692,15.064687841505
"03/2017",0.74016249512018,3.36709424525346,4.4630354345921,3.72263961215828,4.66738918198007,13.0268297124917
"04/2017",0.804772751252415,3.51951255994901,4.55954846168974,2.87071994944757,5.60795411792933,13.5104288079441
"05/2017",0.721607237928014,2.88301959978028,4.18743897368022,3.72038298671217,5.43383850078544,13.2752060002831
"06/2017",1.05080404552333,3.80605585694683,5.62388337554264,3.59712723264023,5.47947390195141,15.1912546864003
"07/2017",1.22229479648079,3.8952505155079,5.83296879701901,3.04556396329117,5.92195193276054,14.6963404563222
"08/2017",0.751248344104481,3.84495964353976,5.12527743922596,2.98825742144933,5.07058617843112,13.2525637039877
"09/2017",1.07867558104443,4.00132352586739,5.33359165936597,4.03213364806201,5.93661175095056,14.9342836615061
"10/2017",1.02913453674661,4.31139629140703,5.84459019965602,4.67568215978249,6.61039257460366,17.190384377099
"11/2017",1.10100808222135,3.75993323434935,5.37848356914345,4.49287184956496,5.43037282060902,14.8839818199378
"12/2017",0.967189877067213,3.91813237704922,5.49066314343919,3.73168218127357,5.60403454599257,14.6515307716745
"01/2018",0.764813433347093,3.25244311246945,4.69890985255055,4.05894909687438,5.69890606914511,14.5922597857658
"02/2018",0.501499117153535,2.96124241151123,3.84889399168094,2.0381218261189,3.96204063834639,10.1208847625579
"03/2018",0.607605032933124,3.51730738475113,4.38936538364419,2.9095556505611,3.97627716572836,11.6599957331481
"04/2018",0.742918006231948,3.10130334688601,4.29692861319947,3.09852619644537,4.71620890123647,12.26673518174
"05/2018",0.873058459703751,3.77571680902976,5.34556552516786,3.88036880271651,5.20824453871558,14.5535792738953
"06/2018",0.905521904069213,3.83058978123683,5.31912191999583,3.22108699737011,5.00225827923381,13.6019572793015
"07/2018",0.911975011429896,3.83193977912712,5.35852335133257,3.77001996200061,5.2698338510544,14.4437690856145
"08/2018",1.00172019177467,3.7541210334821,5.23610645973549,3.10214261360354,4.94558491337542,13.25117886397
"09/2018",1.21764026959159,3.58756562013057,5.41144545225214,3.96809357349774,4.76590551634459,14.2334102465842
"10/2018",0.534753464793738,3.62584941337891,4.42488367662731,2.95815314170707,3.78140744929372,11.5898452674191
"11/2018",0.693201659829989,3.59696101041475,4.85840165525021,3.46295591306238,4.88952425500518,13.2982885189769
"12/2018",0.771256855981664,3.21690978613177,4.61730526486413,2.45225125928055,3.9461713610724,11.1370055592295
"01/2019",0.608366301268364,3.70637764201054,4.73392382479905,3.08292623274939,4.74362309179411,12.7131382898633
"02/2019",0.955270331867049,3.63223260680744,4.95618423465013,2.99112140784925,5.4480629301392,13.8729056706621
"03/2019",0.597013967213135,3.01656875335833,4.11876532281243,3.44738855120995,4.39112678417579,12.298703836065
"04/2019",0.818419432402454,3.85251196668415,5.40149010018177,4.72798635082413,5.76820183566322,15.90497123238
"05/2019",0.696735577689326,3.60029080421706,4.70485309342767,2.40658045385939,5.65731853407007,12.8608048100311
"06/2019",0.766265776448689,3.74855022625235,5.23814208039206,3.78586878688911,4.91481109490504,13.6556215533308
"07/2019",0.778787823795625,4.07599355709178,5.5442237569072,4.23682234883804,5.3411422797441,15.2617803620293
"08/2019",0.60384810100261,2.97782698300263,3.91651413846053,2.24372463331413,4.15867526862258,10.7351396872087
"09/2019",0.743758252325783,3.56985020522823,4.76954248967667,3.95682739223146,5.69355138775697,13.9638608620626
