Date,ACWI,SPX,LGTRTRUU ,LGDRTRUU ,LG30TRUU ,CCMP,SPTSX,MEXBOL,IBOV,IPSA,MERVAL,IGBVL,FTSE 100,CAC 40,DAX ,IBEX ,FTSEMIB ,AEX ,OMX,RTS,SMI,NKY ,HSI,KOSPI ,TWSE ,JCI ,FBMKLCI ,ASX,NZSE,STI ,CL1 ,HG1 ,GOLD,S1
3/21/01,-0.01144,-0.018086295,-0.001575867,-0.000911234,-0.001710228,-0.014757554,-0.01180146,0,-0.003406371,-0.004308795,-0.008304981,-0.010005286,-0.018968166,-0.02256309,-0.028073834,-0.034988251,-0.011299555,-0.019998658,-0.033690354,-0.02235466,-0.014594638,0.072217435,-0.005263429,0.001879382,-0.003422655,0.023649399,0.025179185,-0.001214599,-0.012250336,-0.005232119,0.031844996,-0.010763004,0.00533843,-0.007865209
3/22/01,-0.02418,-0.004071943,-0.006690549,-0.003226041,-0.010308764,0.036200985,2.61E-05,-0.023355129,-0.054329498,-0.010977453,-0.05759823,-0.001754766,-0.041625465,-0.040405229,-0.04252551,-0.042228445,-0.045099145,-0.04491725,-0.034137804,-0.009515454,-0.057803847,-0.019260235,-0.041329905,-0.010456477,0.018941291,-0.016095789,-0.00558565,-0.011388944,-0.02708027,-0.025088834,-0.009748859,-0.008951466,-0.003428575,-0.02051354
3/23/01,0.02334,0.019713495,0.005718183,0.00205214,-0.000214545,0.016193205,-0.003384408,-0.003164776,0.025810533,0.002420777,0.060327636,0.002760597,0.016329407,0.025842405,0.028659135,0.032143833,0.029651509,0.021285726,0.021587927,0.00459665,0.024358647,0.027665025,-0.003054133,0.020507376,0.01207143,0.022569405,-0.000328662,-0.013722807,0.009923688,0.017846091,0.028233673,0.002565749,0.000953562,0.00516797
3/26/01,0.02257,0.011219126,-0.000763961,-0.000595596,0.00656159,-0.005297413,0.006107128,0.005061324,0.019004851,0.006224223,0.050270057,0.004146213,0.031754483,0.034475667,0.032349489,0.028300134,0.025404291,0.037317694,0.04580989,0.007859655,0.036670338,0.047855908,0.028758319,0.014779549,0.016375687,0,0,0.006273172,-0.006973567,-0.003258296,0.006571765,-0.00449439,0.001333461,0.012521507
3/27/01,0.01949,0.025253478,-0.002356752,-0.002725332,0.001333839,0.027641675,0.008385888,0.024540658,0.00835001,0.002780232,0.019177768,-0.001220915,0.026804616,0.021389951,0.036221146,0.021816031,0.025442958,0.016136952,0.026469405,-0.001123926,0.00335741,-0.016289436,-0.018909778,-0.024248556,-0.002035542,-0.005856046,-0.008703928,0.001662941,-0.001259315,-0.026065768,0.009777373,0.011516442,-0.004196878,0.00732604
3/28/01,-0.01854,-0.024733005,-0.001625478,-0.000495878,-0.000997304,-0.06176451,-0.032092465,-0.015165879,-0.013813507,-0.002296158,-0.013456208,-0.006749695,-0.02012041,-0.016401245,-0.020533687,-0.010843068,-0.014202616,-0.010294711,-0.04904833,-0.009866991,-0.006338508,0.009281977,0.011229686,-0.007742412,-0.01109744,0.015788466,-0.00400215,0.002893445,-0.002662231,-0.012568013,-0.053286745,-0.023818313,-0.00575155,-0.007891811
3/29/01,-0.01008,-0.004640984,-0.006783942,-0.002922709,-0.003461087,-0.018265944,-0.008258861,-0.009119817,-0.024190104,0.002706683,-0.023603926,0.006303219,-0.004570457,0.001453191,0.010563653,0.00646139,0.014767573,0,-0.023598636,-0.024883309,0.011133588,-0.051666111,-0.013594002,-0.009481446,0.002486857,0.01742028,-0.013390915,-0.00052031,5.55E-05,-0.015330798,0.000380011,0.010369503,-0.004238927,-0.011955736
3/30/01,0.00535,0.010726704,-0.003939243,-0.001382661,-0.002045781,0.010757227,0.02168721,0.013935958,0.010882181,0.009374228,0.000969353,-0.003500376,0.008073399,0.004358528,-0.008429283,0.009227796,0.001128958,0.010061914,-0.013399135,0.001564996,0.017294823,-0.005573797,0.006505902,-0.001107906,-0.00618307,-0.001895591,-0.007002668,-0.009709196,-0.004508398,0.027863363,-0.001140468,-0.014940193,-0.003869225,-0.018497637
4/2/01,-0.01052,-0.012540274,-0.005539529,-0.002660931,-0.000247241,-0.031626353,0.004553236,-0.005921943,-0.032174065,0.003507458,0,-0.001156401,-0.002701696,0.005780057,-0.011939014,0.00171742,0.001870237,-0.000824181,-0.02435123,-0.011185766,-0.01865844,-0.004768384,-0.002616141,-0.015446851,-0.033353229,-0.015919244,0.005022272,0.014946477,0.011205531,-0.015564378,-0.026986989,-0.004591677,-0.009347682,0.009869456
4/3/01,-0.0249,-0.034998444,0.004164796,0.002181946,-0.002241812,-0.063662091,-0.026294175,-0.021123997,-0.017656191,-0.012879786,-0.02549057,-0.009355286,-0.02804833,-0.040434389,-0.036648254,-0.034089066,-0.029323349,-0.033018086,-0.026273454,-0.023712946,-0.023659786,0.01432053,-0.011305645,-0.02344824,-0.029114051,-0.006363664,-0.027371228,-0.000723012,0.005336574,-0.002752157,0.023176008,0.007206058,0.005852533,-0.005793759
