"date","prop_mstl_namer","prop_mstl_ameri","prop_mstl_latam","prop_mstl_europ","prop_mstl_asiao","mstl_all"
"08/2015",0.0561224744289154,0.361255202444794,0.361255202444794,0.225060100996693,0.62237878636201,8.6943538187474
"09/2015",0.0531101235551993,0.395244185232047,0.377198853649994,0.178200717225418,0.502045031449996,10.5105300795085
"10/2015",0.0676378343132736,0.503515166518845,0.481497877505225,0.271390327571202,0.595676583186376,12.072934801218
"11/2015",0.0533140298478773,0.351584869297218,0.298270839449341,0.228062727781381,0.5577651350641,13.1943206600112
"12/2015",0.0662639887826668,0.540549068931112,0.52463614583182,0.203304829442828,0.431034914223087,10.8469351211396
"01/2016",0.0574633226408738,0.357032416927547,0.336752505201408,0.545669051290159,0.377953242928457,9.60944235918394
"02/2016",0.207782240230056,0.49613913542562,0.40633902097169,0.173149412476895,0.558301386503744,11.1754205812222
"03/2016",0.0654939401726711,0.399538900379009,0.382553536634885,0.329665777286969,0.731492288989239,12.5533624236421
"04/2016",0.209788917085345,0.453654566733726,0.330988714536276,0.216108293282352,0.421220318006908,12.5620069499729
"05/2016",0.188996519953442,0.337433245475659,0.320483355270308,0.218135220599194,0.699869099088768,13.0904001596947
"06/2016",0.150101423241596,0.473302080296483,0.409907441445764,0.265902874816883,0.463368909685788,8.87249265060821
"07/2016",0.0786748917613687,0.695606579947641,0.573483167310264,0.315357889263461,0.391755446774638,13.039889372334
"08/2016",0.0591859298766365,0.535971936418226,0.50001053363598,0.208509704790359,0.4614579318316,13.4090070892054
"09/2016",0.0999206964858989,0.332571004843961,0.318189189140575,0.315234601309495,0.74877983833468,10.8584289276614
"10/2016",0.067944759582298,0.560411569881509,0.560411569881509,0.264789042837194,0.568103937080445,14.2147430078055
"11/2016",0.147101301943159,0.562700370698995,0.371708372118955,0.322016999958095,0.452057818956594,11.8643710620651
"12/2016",0.0635769692497814,0.639357210602718,0.514013754642117,0.384078296468852,0.423731426253116,14.2363476327186
"01/2017",0.0588124679645164,0.490740683697143,0.490740683697143,0.324963934680159,0.788081941516165,14.2000635255589
"02/2017",0.17818084561382,0.588651259168621,0.477883106719359,0.296431015774333,0.57149285360868,15.064687841505
"03/2017",0.0568183135464205,0.638721656103025,0.620202107063393,0.356202994131495,0.362696587600818,13.0268297124917
"04/2017",0.0950628308038481,0.503204447475866,0.486229209511717,0.215372957759785,0.534717028437568,13.5104288079441
"05/2017",0.0543575171573704,0.390711915598939,0.292197427727696,0.392051794857073,0.592391986165331,13.2752060002831
"06/2017",0.132895398428364,0.590616325251048,0.496341357247849,0.28451196925144,0.523746872694517,15.1912546864003
"07/2017",0.188998993775494,0.559502939923368,0.528348322199676,0.207232812300629,0.60435265922467,14.6963404563222
"08/2017",0.0978257604966672,0.5869368414908,0.545445447852249,0.262484765894932,0.466485649738001,13.2525637039877
"09/2017",0.200434958349351,0.555752948210334,0.510232754008703,0.353648450491201,0.689998512832411,14.9342836615061
"10/2017",0.0598668717447424,0.454840167954207,0.418406771259708,0.465908916202109,0.609966320751083,17.190384377099
"11/2017",0.073972683892055,0.531027973503785,0.531027973503785,0.446511257919583,0.471642532366196,14.8839818199378
"12/2017",0.0660128891744924,0.61427426661101,0.61427426661101,0.508874638536093,0.546934225342778,14.6515307716745
"01/2018",0.0524122681870795,0.512227270859972,0.459815002672892,0.280917097229317,0.595600458712455,14.5922597857658
"02/2018",0.0495509166361449,0.514329974973608,0.514329974973608,0.204457982501627,0.394577625023439,10.1208847625579
"03/2018",0.052110227725536,0.640209479206472,0.640209479206472,0.252808184066546,0.425323092143026,11.6599957331481
"04/2018",0.146403123322185,0.448775560565471,0.391696881469951,0.285599367669174,0.437001441085598,12.26673518174
