Dates,SPX ,CCMP ,SPTSX ,MEXBOL ,IBOV ,IPSA ,MERVAL ,SPBLPGPT ,IGBC,UKX ,CAC ,DAX ,IBEX ,FTSEMIB ,AEX ,OMX ,RTSI$ ,SMI ,NKY ,HSI ,KOSPI ,TWSE ,JCI ,FBMKLCI ,STI ,ASX ,NZSE 
03-26-01,0.011219213,-0.005297413,0.006107128,0.005061324,0.019000747,0.006224235,0.050270057,0.004146213,NA,0.031754483,0.034475667,0.032349489,0.028300134,0.025404291,0.037317694,0.04580989,0.007899749,0.036670338,0.047855908,0.028758319,0.014779549,0.016375687,0,0,-0.003258296,0.027930797,-0.006973567
03-27-01,0.025253391,0.027641675,0.008385888,0.024540658,0.008352729,0.002779287,0.019177768,-0.001220915,NA,0.026804616,0.021389951,0.036221146,0.021816031,0.025442958,0.016136952,0.026469405,-0.001141032,0.00335741,-0.016289436,-0.018909778,-0.024248556,-0.002035542,-0.005856046,-0.008703928,-0.026065768,0.023625741,-0.001259315
03-28-01,-0.024733005,-0.06176451,-0.032092465,-0.015165879,-0.01381214,-0.002293306,-0.013456208,-0.006749695,NA,-0.02012041,-0.016401245,-0.020533687,-0.010843068,-0.014202616,-0.010294711,-0.04904833,-0.009866991,-0.006338508,0.009281977,0.011229686,-0.007742412,-0.01109744,0.015788466,-0.00400215,-0.012568013,-0.016914095,-0.002662231
03-29-01,-0.004640984,-0.018265944,-0.008258861,-0.009119817,-0.02419007,0.002711434,-0.023603926,0.006303219,NA,-0.004570457,0.001453191,0.010563653,0.00646139,0.014767573,0,-0.023598636,-0.024865578,0.011133588,-0.051666111,-0.013594002,-0.009481446,0.002486857,0.01742028,-0.013390915,-0.015330798,-0.003686387,5.55355E-05
03-30-01,0.010726704,0.010757227,0.02168721,0.013935958,0.010884243,0.00937136,0.000969353,-0.003500376,NA,0.008073399,0.004358528,-0.008429283,0.009227796,0.001128958,0.010061914,-0.013399135,0.001535464,0.017294823,-0.005573797,0.006505902,-0.001107906,-0.00618307,-0.001895591,-0.007002668,0.027863363,0.00738874,-0.004508398
04-02-01,-0.012540274,-0.031626353,0.004553236,-0.005921943,-0.032177527,0.003504638,0,-0.001156401,NA,-0.002701696,0.005780057,-0.011939014,0.00171742,0.001870237,-0.000824181,-0.02435123,-0.011156062,-0.01865844,-0.004768384,-0.002616141,-0.015446851,-0.033353229,-0.015919244,0.005022272,-0.015564378,-0.001982491,0.011205531
04-03-01,-0.034998444,-0.063662091,-0.026294175,-0.021123997,-0.017656919,-0.012875998,-0.02549057,-0.009355286,NA,-0.02804833,-0.040434389,-0.036648254,-0.034089066,-0.029323349,-0.033018086,-0.026273454,-0.023730848,-0.023659786,0.01432053,-0.011305645,-0.02344824,-0.029114051,-0.006363664,-0.027371228,-0.002752157,-0.026011372,0.005336574
04-04-01,-0.002905361,-0.020654155,-0.003893724,-0.000238591,0.00856794,0.000180501,-0.00372828,0.001905035,NA,0.013201632,0.013462135,0.007927496,0.017664145,0.0114263,-0.004195681,0.015709823,-0.014650022,-0.0066296,0.008974072,-0.042241876,-0.019199145,-0.007550252,-0.014174745,-0.063422014,-0.012211258,0.009858134,-0.012464188
04-05-01,0.042752964,0.085454149,0.020928549,0.022287684,0.041543506,0.00845643,0.040399661,0.002130922,NA,0.015433871,0.016957743,0.030902116,0.01812869,0.015770343,0.028211185,0.054310289,0.036887932,0.023471891,0.01041169,0,0,0,-0.013536753,-0.004249585,0.030929466,0.014714673,0.006700007
04-06-01,-0.020186047,-0.036884844,-0.012963537,-0.000716129,0.002903863,-0.008057543,0.009182312,-0.003170303,NA,-0.003617478,-0.003660813,-0.012981105,-0.001264155,0.001998719,-0.001719691,-0.027410438,-0.00695655,-0.004676391,0.000177843,0.026414278,0.025063568,0.020013524,0.005159537,-0.024462808,-0.003336413,-0.002861084,-0.005783722
04-09-01,0.008084703,0.014627778,0.00843816,0.010671081,0.016060064,0.002153139,0.021967388,-0.024631886,NA,0.010972342,0.008429827,0.014308744,0.013321533,0.010086174,0.01061472,0.036904645,0.004563202,0.016498895,-0.041339671,-0.015007982,-0.017456206,-0.020757439,-0.005689379,-0.0426319,-0.049336052,0.008794286,0.002176279
04-10-01,0.026706184,0.059120985,0.027175472,0.036217116,0.022092625,-0.003521414,-2.15985E-05,-0.003864062,NA,0.024368264,0.028155496,0.022716959,0.015565538,0.010813096,0.02235334,0.029599058,0.010132403,0.014448339,-0.017398109,0.000947748,-0.012643416,-0.008987232,0.018924025,0.003877966,0.0040878,0.022059919,-0.002148526
04-11-01,-0.00213343,0.025018767,-0.004278578,0.005133684,-0.015335156,0.000180644,-0.01486183,-0.009552801,NA,-0.002570939,0.005667401,0.006290792,0.001259387,-0.004296111,0.01053247,-0.012643807,0.015125498,0.008661067,0.04301153,0.039552348,0.032684088,0.021116645,-0.005543551,0.022059522,0.004768644,-0.001062154,0.000721311
04-12-01,0.014991406,0.032372697,0.015763227,0,0.010111473,0.00051323,0,0,NA,-0.003721434,0.002083055,0.008556571,0.003623587,0.005223255,-0.002031586,-0.022507047,-0.011691917,0.001532842,0.013383358,0.022030865,0.01307592,0.011902727,-0.003199942,-0.002486006,-0.021782162,-0.002904173,-0.001970964
04-13-01,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0.01262606,0,0.002489327,0,0.003668803,-0.006845808,0,0.025963265,0,0,0
04-16-01,-0.003232935,-0.026795713,-0.005729046,-0.007979238,-0.035687475,-0.002216378,-0.026411139,-0.002485191,NA,0,0,0,0,0,0,0,-0.012330612,0,-0.009821926,0,-0.015130358,-0.011565181,-0.007602952,0,0.004172271,0,0
04-17-01,0.010229945,0.007122779,0.003664435,0.019500477,-0.007484009,0.006681751,0.008896318,-0.00867625,NA,-0.000954223,-0.00592328,-0.01117798,-0.012756166,0.001526661,-0.010448613,-0.00204576,-0.014640504,0,-0.014269685,-0.029930441,0.010994711,-6.07498E-05,-0.008777129,-0.010895615,-0.016022119,-0.001030211,-0.000639315
